0 tensor(0.1882, dtype=torch.float64, grad_fn=<AddBackward0>)
1 tensor(0.1846, dtype=torch.float64, grad_fn=<AddBackward0>)
2 tensor(0.1813, dtype=torch.float64, grad_fn=<AddBackward0>)
3 tensor(0.1785, dtype=torch.float64, grad_fn=<AddBackward0>)
4 tensor(0.1761, dtype=torch.float64, grad_fn=<AddBackward0>)
5 tensor(0.1741, dtype=torch.float64, grad_fn=<AddBackward0>)
6 tensor(0.1723, dtype=torch.float64, grad_fn=<AddBackward0>)
7 tensor(0.1708, dtype=torch.float64, grad_fn=<AddBackward0>)
8 tensor(0.1694, dtype=torch.float64, grad_fn=<AddBackward0>)
9 tensor(0.1680, dtype=torch.float64, grad_fn=<AddBackward0>)
10 tensor(0.1666, dtype=torch.float64, grad_fn=<AddBackward0>)
11 tensor(0.1651, dtype=torch.float64, grad_fn=<AddBackward0>)
12 tensor(0.1635, dtype=torch.float64, grad_fn=<AddBackward0>)
13 tensor(0.1619, dtype=torch.float64, grad_fn=<AddBackward0>)
14 tensor(0.1602, dtype=torch.float64, grad_fn=<AddBackward0>)
15 tensor(0.1584, dtype=torch.float64, grad_fn=<AddBackward0>)
16 tensor(0.1566, dtype=torch.float64, grad_fn=<AddBackward0>)
17 tensor(0.1548, dtype=torch.float64, grad_fn=<AddBackward0>)
18 tensor(0.1530, dtype=torch.float64, grad_fn=<AddBackward0>)
19 tensor(0.1512, dtype=torch.float64, grad_fn=<AddBackward0>)
20 tensor(0.1494, dtype=torch.float64, grad_fn=<AddBackward0>)
21 tensor(0.1476, dtype=torch.float64, grad_fn=<AddBackward0>)
22 tensor(0.1458, dtype=torch.float64, grad_fn=<AddBackward0>)
23 tensor(0.1440, dtype=torch.float64, grad_fn=<AddBackward0>)
24 tensor(0.1421, dtype=torch.float64, grad_fn=<AddBackward0>)
25 tensor(0.1402, dtype=torch.float64, grad_fn=<AddBackward0>)
26 tensor(0.1382, dtype=torch.float64, grad_fn=<AddBackward0>)
27 tensor(0.1363, dtype=torch.float64, grad_fn=<AddBackward0>)
28 tensor(0.1342, dtype=torch.float64, grad_fn=<AddBackward0>)
29 tensor(0.1322, dtype=torch.float64, grad_fn=<AddBackward0>)
30 tensor(0.1300, dtype=torch.float64, grad_fn=<AddBackward0>)
31 tensor(0.1279, dtype=torch.float64, grad_fn=<AddBackward0>)
32 tensor(0.1256, dtype=torch.float64, grad_fn=<AddBackward0>)
33 tensor(0.1234, dtype=torch.float64, grad_fn=<AddBackward0>)
34 tensor(0.1210, dtype=torch.float64, grad_fn=<AddBackward0>)
35 tensor(0.1187, dtype=torch.float64, grad_fn=<AddBackward0>)
36 tensor(0.1163, dtype=torch.float64, grad_fn=<AddBackward0>)
37 tensor(0.1140, dtype=torch.float64, grad_fn=<AddBackward0>)
38 tensor(0.1116, dtype=torch.float64, grad_fn=<AddBackward0>)
39 tensor(0.1092, dtype=torch.float64, grad_fn=<AddBackward0>)
40 tensor(0.1068, dtype=torch.float64, grad_fn=<AddBackward0>)
41 tensor(0.1044, dtype=torch.float64, grad_fn=<AddBackward0>)
42 tensor(0.1020, dtype=torch.float64, grad_fn=<AddBackward0>)
43 tensor(0.0996, dtype=torch.float64, grad_fn=<AddBackward0>)
44 tensor(0.0973, dtype=torch.float64, grad_fn=<AddBackward0>)
45 tensor(0.0949, dtype=torch.float64, grad_fn=<AddBackward0>)
46 tensor(0.0927, dtype=torch.float64, grad_fn=<AddBackward0>)
47 tensor(0.0904, dtype=torch.float64, grad_fn=<AddBackward0>)
48 tensor(0.0882, dtype=torch.float64, grad_fn=<AddBackward0>)
49 tensor(0.0861, dtype=torch.float64, grad_fn=<AddBackward0>)
50 tensor(0.0840, dtype=torch.float64, grad_fn=<AddBackward0>)
51 tensor(0.0820, dtype=torch.float64, grad_fn=<AddBackward0>)
52 tensor(0.0800, dtype=torch.float64, grad_fn=<AddBackward0>)
53 tensor(0.0781, dtype=torch.float64, grad_fn=<AddBackward0>)
54 tensor(0.0763, dtype=torch.float64, grad_fn=<AddBackward0>)
55 tensor(0.0746, dtype=torch.float64, grad_fn=<AddBackward0>)
56 tensor(0.0729, dtype=torch.float64, grad_fn=<AddBackward0>)
57 tensor(0.0714, dtype=torch.float64, grad_fn=<AddBackward0>)
58 tensor(0.0699, dtype=torch.float64, grad_fn=<AddBackward0>)
59 tensor(0.0684, dtype=torch.float64, grad_fn=<AddBackward0>)
60 tensor(0.0671, dtype=torch.float64, grad_fn=<AddBackward0>)
61 tensor(0.0659, dtype=torch.float64, grad_fn=<AddBackward0>)
62 tensor(0.0647, dtype=torch.float64, grad_fn=<AddBackward0>)
63 tensor(0.0636, dtype=torch.float64, grad_fn=<AddBackward0>)
64 tensor(0.0625, dtype=torch.float64, grad_fn=<AddBackward0>)
65 tensor(0.0615, dtype=torch.float64, grad_fn=<AddBackward0>)
66 tensor(0.0606, dtype=torch.float64, grad_fn=<AddBackward0>)
67 tensor(0.0598, dtype=torch.float64, grad_fn=<AddBackward0>)
68 tensor(0.0589, dtype=torch.float64, grad_fn=<AddBackward0>)
69 tensor(0.0582, dtype=torch.float64, grad_fn=<AddBackward0>)
70 tensor(0.0575, dtype=torch.float64, grad_fn=<AddBackward0>)
71 tensor(0.0568, dtype=torch.float64, grad_fn=<AddBackward0>)
72 tensor(0.0561, dtype=torch.float64, grad_fn=<AddBackward0>)
73 tensor(0.0555, dtype=torch.float64, grad_fn=<AddBackward0>)
74 tensor(0.0549, dtype=torch.float64, grad_fn=<AddBackward0>)
75 tensor(0.0544, dtype=torch.float64, grad_fn=<AddBackward0>)
76 tensor(0.0538, dtype=torch.float64, grad_fn=<AddBackward0>)
77 tensor(0.0533, dtype=torch.float64, grad_fn=<AddBackward0>)
78 tensor(0.0528, dtype=torch.float64, grad_fn=<AddBackward0>)
79 tensor(0.0523, dtype=torch.float64, grad_fn=<AddBackward0>)
80 tensor(0.0519, dtype=torch.float64, grad_fn=<AddBackward0>)
