1691072922.08309
r=: 12
0 tensor(0.1723, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
1 tensor(0.1616, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
2 tensor(0.1516, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
3 tensor(0.1423, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
4 tensor(0.1336, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
5 tensor(0.1254, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
6 tensor(0.1176, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
7 tensor(0.1103, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
8 tensor(0.1035, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
9 tensor(0.0971, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
10 tensor(0.0912, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
11 tensor(0.0857, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
12 tensor(0.0806, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
13 tensor(0.0758, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
14 tensor(0.0714, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
15 tensor(0.0672, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
16 tensor(0.0634, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
17 tensor(0.0598, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
18 tensor(0.0565, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
19 tensor(0.0534, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
20 tensor(0.0505, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
21 tensor(0.0479, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
22 tensor(0.0454, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
23 tensor(0.0432, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
24 tensor(0.0412, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
25 tensor(0.0393, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
26 tensor(0.0376, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
27 tensor(0.0360, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
28 tensor(0.0346, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
29 tensor(0.0332, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
30 tensor(0.0320, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
31 tensor(0.0308, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
32 tensor(0.0298, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
33 tensor(0.0287, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
34 tensor(0.0278, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
35 tensor(0.0269, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
36 tensor(0.0260, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
37 tensor(0.0252, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
38 tensor(0.0244, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
39 tensor(0.0237, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
40 tensor(0.0230, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
41 tensor(0.0223, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
42 tensor(0.0217, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
43 tensor(0.0211, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
44 tensor(0.0205, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
45 tensor(0.0200, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
46 tensor(0.0194, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
47 tensor(0.0189, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
48 tensor(0.0184, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
49 tensor(0.0179, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
50 tensor(0.0174, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
51 tensor(0.0169, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
52 tensor(0.0164, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
53 tensor(0.0160, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
54 tensor(0.0155, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
55 tensor(0.0151, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
56 tensor(0.0146, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
57 tensor(0.0142, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
58 tensor(0.0138, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
59 tensor(0.0134, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
60 tensor(0.0130, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
61 tensor(0.0126, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
62 tensor(0.0123, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
63 tensor(0.0119, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
64 tensor(0.0116, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
65 tensor(0.0113, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
66 tensor(0.0110, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
67 tensor(0.0107, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
68 tensor(0.0104, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
69 tensor(0.0102, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
70 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
71 tensor(0.0097, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
