1691718508.951755
0 tensor(0.0580, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
10 tensor(0.0570, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
20 tensor(0.0563, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
30 tensor(0.0557, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
40 tensor(0.0553, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
50 tensor(0.0551, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
60 tensor(0.0548, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
70 tensor(0.0547, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
80 tensor(0.0545, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
90 tensor(0.0544, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
100 tensor(0.0543, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
110 tensor(0.0542, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
120 tensor(0.0541, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
130 tensor(0.0540, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
140 tensor(0.0539, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
150 tensor(0.0538, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
160 tensor(0.0537, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
170 tensor(0.0536, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
180 tensor(0.0536, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
190 tensor(0.0535, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
200 tensor(0.0534, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
210 tensor(0.0533, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
220 tensor(0.0532, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
230 tensor(0.0531, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
240 tensor(0.0530, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
250 tensor(0.0529, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
260 tensor(0.0528, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
270 tensor(0.0528, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
280 tensor(0.0527, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
290 tensor(0.0526, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
300 tensor(0.0524, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
310 tensor(0.0523, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
320 tensor(0.0522, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
330 tensor(0.0521, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
340 tensor(0.0519, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
350 tensor(0.0518, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
360 tensor(0.0516, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
370 tensor(0.0515, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
380 tensor(0.0513, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
390 tensor(0.0511, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
400 tensor(0.0509, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
410 tensor(0.0508, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
420 tensor(0.0506, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
430 tensor(0.0504, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
440 tensor(0.0502, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
450 tensor(0.0500, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
460 tensor(0.0498, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
470 tensor(0.0497, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
480 tensor(0.0495, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
490 tensor(0.0493, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
500 tensor(0.0491, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
510 tensor(0.0489, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
520 tensor(0.0487, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
530 tensor(0.0485, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
540 tensor(0.0483, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
550 tensor(0.0481, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
560 tensor(0.0478, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
570 tensor(0.0476, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
580 tensor(0.0473, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
590 tensor(0.0470, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
600 tensor(0.0467, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
610 tensor(0.0464, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
620 tensor(0.0461, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
630 tensor(0.0458, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
640 tensor(0.0455, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
650 tensor(0.0452, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
660 tensor(0.0449, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
670 tensor(0.0446, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
680 tensor(0.0443, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
690 tensor(0.0441, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
700 tensor(0.0438, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
710 tensor(0.0436, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
720 tensor(0.0434, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
730 tensor(0.0431, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
740 tensor(0.0429, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
750 tensor(0.0426, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
760 tensor(0.0424, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
770 tensor(0.0422, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
780 tensor(0.0420, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
790 tensor(0.0417, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
800 tensor(0.0415, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
810 tensor(0.0413, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
820 tensor(0.0411, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
830 tensor(0.0409, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
840 tensor(0.0407, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
850 tensor(0.0405, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
860 tensor(0.0403, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
870 tensor(0.0401, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
880 tensor(0.0399, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
890 tensor(0.0397, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
900 tensor(0.0395, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
910 tensor(0.0393, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
920 tensor(0.0391, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
930 tensor(0.0388, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
940 tensor(0.0386, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
950 tensor(0.0384, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
960 tensor(0.0381, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
970 tensor(0.0379, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
980 tensor(0.0376, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
990 tensor(0.0373, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
1000 tensor(0.0370, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
1010 tensor(0.0367, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
1020 tensor(0.0364, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
1030 tensor(0.0360, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
1040 tensor(0.0356, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
1050 tensor(0.0352, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
1060 tensor(0.0349, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
