1694161865.011704
0 tensor(0.3231, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
10 tensor(0.0422, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
20 tensor(0.0197, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
30 tensor(0.0177, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
40 tensor(0.0137, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
50 tensor(0.0137, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
60 tensor(0.0128, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
70 tensor(0.0126, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
80 tensor(0.0123, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
90 tensor(0.0121, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
100 tensor(0.0119, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
110 tensor(0.0117, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
120 tensor(0.0115, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
130 tensor(0.0113, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
140 tensor(0.0111, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
150 tensor(0.0109, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
160 tensor(0.0107, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
170 tensor(0.0105, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
180 tensor(0.0103, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
190 tensor(0.0102, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
200 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
210 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
220 tensor(0.0098, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
230 tensor(0.0097, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
240 tensor(0.0096, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
250 tensor(0.0095, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
260 tensor(0.0095, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
