1692307961.524486
0 tensor(0.0281, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
10 tensor(0.0119, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
20 tensor(0.0108, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
30 tensor(0.0109, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
40 tensor(0.0107, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
50 tensor(0.0105, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
60 tensor(0.0104, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
70 tensor(0.0103, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
80 tensor(0.0102, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
90 tensor(0.0101, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
100 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
110 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
120 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
130 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
140 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
150 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
160 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
170 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
180 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
190 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
200 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
210 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
220 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
230 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
240 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
250 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
260 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
270 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
280 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
290 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
300 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
310 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
320 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
330 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
340 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
350 tensor(0.0099, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
360 tensor(0.0098, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
370 tensor(0.0098, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
380 tensor(0.0097, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
390 tensor(0.0095, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
400 tensor(0.0093, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
410 tensor(0.0091, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
420 tensor(0.0089, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
430 tensor(0.0088, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
440 tensor(0.0087, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
450 tensor(0.0087, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
460 tensor(0.0086, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
470 tensor(0.0085, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
480 tensor(0.0084, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
490 tensor(0.0083, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
500 tensor(0.0082, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
510 tensor(0.0081, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
520 tensor(0.0081, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
530 tensor(0.0080, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
540 tensor(0.0080, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
550 tensor(0.0079, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
560 tensor(0.0079, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
570 tensor(0.0079, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
580 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
590 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
600 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
610 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
620 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
630 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
640 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
650 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
660 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
670 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
680 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
