1692803203.1170661
0 tensor(0.0300, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
10 tensor(0.0122, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
20 tensor(0.0114, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
30 tensor(0.0102, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
40 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
50 tensor(0.0097, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
60 tensor(0.0095, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
70 tensor(0.0094, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
80 tensor(0.0092, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
90 tensor(0.0090, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
100 tensor(0.0088, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
110 tensor(0.0087, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
120 tensor(0.0085, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
130 tensor(0.0083, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
140 tensor(0.0082, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
150 tensor(0.0081, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
160 tensor(0.0080, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
170 tensor(0.0079, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
180 tensor(0.0078, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
190 tensor(0.0077, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
200 tensor(0.0076, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
210 tensor(0.0075, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
220 tensor(0.0073, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
230 tensor(0.0071, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
240 tensor(0.0069, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
250 tensor(0.0066, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
