1693553550.2609074
0 tensor(0.2208, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
10 tensor(0.0747, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
20 tensor(0.0579, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
30 tensor(0.0493, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
40 tensor(0.0449, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
50 tensor(0.0423, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
60 tensor(0.0406, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
70 tensor(0.0396, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
80 tensor(0.0386, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
90 tensor(0.0378, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
100 tensor(0.0370, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
110 tensor(0.0363, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
120 tensor(0.0356, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
130 tensor(0.0348, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
140 tensor(0.0340, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
150 tensor(0.0332, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
160 tensor(0.0322, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
170 tensor(0.0312, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
180 tensor(0.0301, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
190 tensor(0.0290, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
200 tensor(0.0279, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
210 tensor(0.0269, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
220 tensor(0.0260, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
230 tensor(0.0252, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
240 tensor(0.0244, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
250 tensor(0.0238, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
260 tensor(0.0231, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
270 tensor(0.0225, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
280 tensor(0.0219, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
290 tensor(0.0212, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
300 tensor(0.0206, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
310 tensor(0.0200, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
320 tensor(0.0194, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
330 tensor(0.0187, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
340 tensor(0.0181, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
350 tensor(0.0175, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
360 tensor(0.0170, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
370 tensor(0.0165, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
380 tensor(0.0160, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
390 tensor(0.0156, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
400 tensor(0.0151, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
410 tensor(0.0148, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
420 tensor(0.0144, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
430 tensor(0.0140, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
440 tensor(0.0136, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
450 tensor(0.0132, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
460 tensor(0.0127, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
470 tensor(0.0123, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
480 tensor(0.0118, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
490 tensor(0.0114, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
500 tensor(0.0110, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
510 tensor(0.0105, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
520 tensor(0.0101, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
530 tensor(0.0097, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
540 tensor(0.0093, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
