1692277902.9458354
0 tensor(nan, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
10 tensor(1.0419, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
20 tensor(0.8378, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
30 tensor(0.7139, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
40 tensor(0.6247, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
50 tensor(0.5550, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
60 tensor(0.4982, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
70 tensor(0.4504, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
80 tensor(0.4095, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
90 tensor(0.3741, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
100 tensor(0.3430, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
110 tensor(0.3156, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
120 tensor(0.2911, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
130 tensor(0.2692, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
140 tensor(0.2494, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
150 tensor(0.2315, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
160 tensor(0.2152, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
170 tensor(0.2002, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
180 tensor(0.1864, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
190 tensor(0.1737, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
200 tensor(0.1620, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
210 tensor(0.1510, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
220 tensor(0.1409, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
230 tensor(0.1314, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
240 tensor(0.1225, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
250 tensor(0.1141, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
260 tensor(0.1063, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
270 tensor(0.0989, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
280 tensor(0.0919, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
290 tensor(0.0853, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
300 tensor(0.0791, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
310 tensor(0.0732, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
320 tensor(0.0676, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
330 tensor(0.0623, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
340 tensor(0.0573, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
350 tensor(0.0525, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
360 tensor(0.0480, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
370 tensor(0.0437, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
380 tensor(0.0397, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
390 tensor(0.0359, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
400 tensor(0.0323, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
410 tensor(0.0290, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
420 tensor(0.0259, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
430 tensor(0.0231, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
440 tensor(0.0206, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
450 tensor(0.0182, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
460 tensor(0.0162, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
470 tensor(0.0143, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
480 tensor(0.0127, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
490 tensor(0.0112, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
500 tensor(0.0100, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
510 tensor(0.0089, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
520 tensor(0.0080, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
530 tensor(0.0072, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
540 tensor(0.0065, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
550 tensor(0.0059, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
560 tensor(0.0054, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
570 tensor(0.0049, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
580 tensor(0.0045, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
590 tensor(0.0042, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
600 tensor(0.0040, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
610 tensor(0.0037, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
620 tensor(0.0035, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
630 tensor(0.0034, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
640 tensor(0.0032, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
650 tensor(0.0031, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
660 tensor(0.0030, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
670 tensor(0.0029, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
680 tensor(0.0029, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
690 tensor(0.0028, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
700 tensor(0.0028, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
710 tensor(0.0027, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
720 tensor(0.0027, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
730 tensor(0.0026, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
740 tensor(0.0026, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
750 tensor(0.0026, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
760 tensor(0.0025, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
770 tensor(0.0025, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
780 tensor(0.0025, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
790 tensor(0.0025, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
800 tensor(0.0025, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
810 tensor(0.0024, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
820 tensor(0.0024, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
830 tensor(0.0024, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
