1692880723.413151
0 tensor(0.0183, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
10 tensor(0.0054, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
20 tensor(0.0045, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
30 tensor(0.0042, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
40 tensor(0.0039, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
50 tensor(0.0038, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
60 tensor(0.0037, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
70 tensor(0.0037, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
80 tensor(0.0036, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
90 tensor(0.0036, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
100 tensor(0.0035, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
110 tensor(0.0035, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
120 tensor(0.0034, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
130 tensor(0.0034, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
140 tensor(0.0033, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
150 tensor(0.0033, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
160 tensor(0.0032, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
170 tensor(0.0031, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
180 tensor(0.0030, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
190 tensor(0.0029, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
200 tensor(0.0029, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
210 tensor(0.0028, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
220 tensor(0.0028, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
230 tensor(0.0028, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
240 tensor(0.0027, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
250 tensor(0.0027, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
260 tensor(0.0027, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
270 tensor(0.0026, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
280 tensor(0.0026, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
290 tensor(0.0026, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
300 tensor(0.0026, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
310 tensor(0.0025, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
320 tensor(0.0025, device='cuda:0', dtype=torch.float64, grad_fn=<AddBackward0>)
