1693262144.1736188
0 tensor(0.0167, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
10 tensor(0.0042, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
20 tensor(0.0019, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
30 tensor(0.0011, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
40 tensor(0.0008, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
50 tensor(0.0005, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
60 tensor(0.0004, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
70 tensor(0.0003, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
80 tensor(0.0003, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
90 tensor(0.0003, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
100 tensor(0.0003, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
110 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
120 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
130 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
140 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
150 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
160 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
170 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
180 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
190 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
200 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
210 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
220 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
230 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
240 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
250 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
260 tensor(0.0002, device='cuda:0', dtype=torch.float64, grad_fn=<NormBackward1>)
